timestamp,scene_number,scene_snapshot_number,scene_snapshot_path,subtitle,cleaned_subtitle,snapshot_desc,profanity_present,nudity_present,should_censor
7255,,,,(Music playing),,,False,False,False
100540,,,,(Watch ticking),,,False,False,False
108264,,,,(Seagulls cawing),,,False,False,False
112385,,,,(Bell ringing),,,False,False,False
118724,,,,(Foghorn blows),,,False,False,False
144497,,,,"Come on, let's go. Let's go.
I'm a sitting duck out here.",,,False,False,False
146717,,,,"So move then.
Come on.",,,False,False,False
148218,,,,Charlie.,,,False,False,False
150469,,,,Load it up.,,,False,False,False
151805,,,,"Let's go, let's go!",,,False,False,False
156009,,,,Come on.,,,False,False,False
158626,,,,"- Liquid gold, boyo.
- That's it.",,,False,False,False
173708,,,,(Music playing),,,False,False,False
188455,,,,"Come on, are we
fucking done here?", Are we finished here now?,,True,False,False
190123,,,,"Boys, we're straight on to New York,
so anyone needs a piss,"," Kids, we're quickly headed towards New York,
so if someone has to use the restroom.",,True,False,False
192926,,,,"you take it now.
No?",,,False,False,False
194843,,,,Then let's go.,,,False,False,False
215145,,,,Son of a bitch., Darn it.,,True,False,False
217347,,,,"Hold up.
Slow down.",,,False,False,False
222952,,,,(Brakes squeal),,,False,False,False
236966,,,,He's still breathing.,,,False,False,False
239035,,,,"Fuck him.
Get him off the road."," ""Let's deal with him.
Help remove him from the road.""",,True,False,False
246974,,,,"- (Gun cocks)
- [Man]: Get 'em up!"," - (Fires gun)
- [Man]: Rise and shine!",,True,False,False
249510,,,,Up!,,,False,False,False
251546,,,,"Get your fucking hands in the air.
Drop the heaters."," Put your hands up high.
Hand over the gadgets.",,True,False,False
254981,,,,"- You stupid fuck.
- Drop it I said!"," - You clumsy person.
- Put it down as requested.",,True,False,False
257768,,,,"You too, fat boy.
Drop it!",,,False,False,False
259853,,,,Drop your weapon.,,,False,False,False
262054,,,,"You know whose
fucking load this is?"," ""Who left this pile of stuff behind?""",,True,False,False
264324,,,,"It's pretty fucking
obvious now, ain't it?"," It's quite clear, isn't it?",,True,False,False
266442,,,,"[Woman]: ""Coward, monster,
vicious brute,",,,False,False,False
269595,,,,"friend to thief and prostitute,",,,False,False,False
272531,,,,"conscience dulled by demon rum,",,,False,False,False
275917,,,,"liquor, thy name's
delirium"".",,,False,False,False
284740,,,,"Tomorrow we awaken
to a new dawn.",,,False,False,False
289096,,,,"And on the eve of this
momentous occasion,",,,False,False,False
291599,,,,"it is my pleasure
to introduce...",,,False,False,False
294018,,,,"Atlantic city's
esteemed treasurer,",,,False,False,False
297603,,,,the honorable enoch Thompson.,,,False,False,False
306612,,,,"Mrs. McGarry, thank you
for that stirring poem.",,,False,False,False
309949,,,,Will you send me a copy?,,,False,False,False
311767,,,,"[Woman]:
What a nice man.",,,False,False,False
314436,,,,Ladies.,,,False,False,False
316820,,,,Years ago there was a young boy,,,False,False,False
318938,,,,who lived in this very city.,,,False,False,False
320825,,,,"The winter of '88,
some of you remember,",,,False,False,False
324412,,,,"a blizzard
of biblical proportions.",,,False,False,False
