timestamp,video_id,scene_number,scene_snapshot_number,scene_snapshot_path,subtitle,cleaned_subtitle,snapshot_desc,profanity_present,nudity_present,should_censor
10591,1,,,,"[Gate rumbling, chains rattling]",,,False,False,False
42457,1,,,,[Horse snorts],,,False,False,False
57472,1,,,,"[Rumbling, chain rattling]",,,False,False,False
104018,1,,,,[Wind whistling],,,False,False,False
117031,1,,,,"- Easy, boy.
- [Grunts]",,,False,False,False
180804,1,,,,[Horse whinnies],,,False,False,False
192274,1,,,,"[Man] What do you expect?
They're savages.",,,False,False,False
194442,1,,,,"One lot steals a goat from another lot,",,,False,False,False
196945,1,,,,"before you know it
they're ripping each other to pieces.",,,False,False,False
199405,1,,,,I've never seen wildlings do a thing like this.,,,False,False,False
201991,1,,,,"I never seen a thing like this,
not ever in my life.",,,False,False,False
204286,1,,,,"- [Horse snorts]
- How close did you get?",,,False,False,False
206579,1,,,,"- Close as any man would.
- We should head back to the Wall.",,,False,False,False
212627,1,,,,Do the dead frighten you?,,,False,False,False
214211,1,,,,Our orders were to track the wildlings.,,,False,False,False
216465,1,,,,"We tracked them.
They won't trouble us no more.",,,False,False,False
219800,1,,,,You don't think he'll ask us how they died?,,,False,False,False
224472,1,,,,Get back on your horse.,,,False,False,False
227851,1,,,,"[Sighs, mutters]",,,False,False,False
230978,1,,,,"Whatever did it to them
could do it to us.",,,False,False,False
233607,1,,,,They even killed the children.,,,False,False,False
236150,1,,,,It's a good thing we're not children.,,,False,False,False
239529,1,,,,"You want to run away south,
run away.",,,False,False,False
242448,1,,,,"Of course,
they will behead you as a deserter.",,,False,False,False
245494,1,,,,If I don't catch you first.,,,False,False,False
249997,1,,,,Get back on your horse.,,,False,False,False
252417,1,,,,I won't say it again.,,,False,False,False
272395,1,,,,[Shrill animal call],,,False,False,False
285866,1,,,,"Your dead men seem
to have moved camp.",,,False,False,False
289078,1,,,,They were here.,,,False,False,False
294126,1,,,,See where they went.,,,False,False,False
311225,1,,,,[Echoing creature cries],,,False,False,False
342299,1,,,,What is it?,,,False,False,False
345468,1,,,,It's...,,,False,False,False
347679,1,,,,"[Cracking, creaking]",,,False,False,False
351891,1,,,,[Distant scream],,,False,False,False
354102,1,,,,[Horses neighing],,,False,False,False
356395,1,,,,[Galloping hooves],,,False,False,False
386802,1,,,,[Snarling],,,False,False,False
389763,1,,,,[Chittering],,,False,False,False
400314,1,,,,[Coughing],,,False,False,False
406071,1,,,,[Panting],,,False,False,False
408198,1,,,,[Labored breathing],,,False,False,False
411034,1,,,,[Snarling],,,False,False,False
415330,1,,,,[Gasps],,,False,False,False
421878,1,,,,[Crackling],,,False,False,False
431929,1,,,,[Chittering],,,False,False,False
541121,1,,,,[Galloping hooves],,,False,False,False
583580,1,,,,[Stamps],,,False,False,False
589670,1,,,,"Go on, Father's watching.",,,False,False,False
594342,1,,,,And your mother.,,,False,False,False
602224,1,,,,"Fine work, as always.
Well done.",,,False,False,False
605687,1,,,,Thank you.,,,False,False,False
607480,1,,,,"I love the detail that you've managed
to get in these corners.",,,False,False,False
611443,1,,,,Quite beautiful.,,,False,False,False
613361,1,,,,The stitching...,,,False,False,False
615362,1,,,,"Oh, no, no, no. This stitch is very...",,,False,False,False
617698,1,,,,"[Arrows impacting, men laughing]",,,False,False,False
619284,1,,,,"- It's beautiful.
- Thank you.",,,False,False,False
628418,1,,,,[Arrow impacting],,,False,False,False
634256,1,,,,"- [Sighs]
- [Laughing]",,,False,False,False
636425,1,,,,"And which one of you
was a marksman at ten?",,,False,False,False
640221,1,,,,"Keep practicing, Bran.",,,False,False,False
643891,1,,,,Go on.,,,False,False,False
645977,1,,,,"Don't think too much, Bran.",,,False,False,False
651065,1,,,,Relax your bow arm.,,,False,False,False
662327,1,,,,[Men laughing],,,False,False,False
665371,1,,,,"- Quick, Bran!
- Faster.",,,False,False,False
668458,1,,,,Lord Stark!,,,False,False,False
672504,1,,,,My lady.,,,False,False,False
